scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_high,2,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,16418875.25,0.00,0,15522105.23,0.00,0.00,0,193,172479.76,0.00,0.00,87760.00,333.120000,450,382,0.000000,0.000000,193,162,41160.00,66,94,2,193,174,30720.00,71,93,10,41,35,10000.00,25,10,0,19,9,4440.00,6,2,1,3,2,1440.00,1,1,0,1,0,0.00,0,0,0,807,724290.26,0.00,0.00,328980.00,1257.880000,1836,1469,0.000000,0.000000,807,659,162180.00,334,306,19,807,686,118880.00,329,307,50,123,65,19280.00,42,23,0,59,42,18720.00,27,15,0,30,12,7200.00,10,2,0,10,5,2720.00,4,1,0
credit_high,2,2,1,0.987563,0.991627,0.989640,0.976472,0.975659,0.978520,0.979000,16423479.33,4604.08,12,15456962.31,4604.08,0.00,0,193,187428.99,0.00,0.00,115170.65,402.720000,460,430,0.000000,0.000000,193,188,52736.53,83,78,27,193,191,38420.22,61,96,34,34,23,7658.22,9,14,0,32,21,11408.87,8,11,2,4,4,3168.81,1,3,0,4,3,1778.00,2,1,0,807,779088.03,4604.08,293.23,476441.44,1664.600000,1959,1773,0.000000,0.000000,807,769,222570.35,317,322,130,807,798,158181.84,328,304,166,209,123,43049.89,58,53,12,84,57,32267.20,25,22,10,40,20,15686.16,10,8,2,12,6,4686.00,2,3,1
credit_high,2,3,1,0.996170,1.004460,0.994790,0.981492,0.975824,0.988861,0.992675,16427198.37,8323.12,22,15426150.68,3981.53,262.49,0,193,196919.91,0.00,0.00,120635.05,413.600000,464,424,0.000000,0.000000,193,193,60611.55,71,75,47,193,190,39229.57,64,85,41,40,24,8611.56,10,12,2,25,11,7086.76,3,5,3,9,4,2972.56,2,2,0,4,2,2123.05,0,1,1,807,804127.78,8323.12,579.25,505308.33,1714.760000,1986,1819,0.000000,0.000000,807,807,240726.45,329,325,153,807,792,157561.77,318,315,159,221,121,42225.76,57,55,9,97,67,36673.28,30,28,9,40,24,22302.72,9,9,6,14,8,5818.35,4,3,1
credit_high,2,4,1,1.011393,1.024280,1.003210,0.996155,0.983783,1.015037,1.020705,16429106.08,10230.83,28,15422473.87,2429.62,521.91,0,193,194724.76,0.00,0.00,132326.39,431.160000,476,439,0.000000,0.000000,193,192,62096.13,67,78,47,193,190,40160.92,59,89,42,44,30,11946.96,12,12,6,28,17,10098.00,4,11,2,14,7,5831.02,4,2,1,4,3,2193.36,1,2,0,807,811907.45,10230.83,747.53,520751.81,1726.840000,1984,1819,0.000000,0.000000,807,805,244635.06,330,322,153,807,786,157598.68,317,311,158,220,137,54436.82,55,55,27,97,63,37995.65,26,22,15,36,21,20113.32,7,9,5,17,7,5972.28,3,2,2
credit_high,2,5,1,1.026668,1.039367,1.011890,1.024377,0.992622,1.054381,1.063400,16429950.60,11075.35,33,15421049.11,1518.51,673.99,0,193,192306.02,0.00,0.00,132553.18,423.520000,481,438,0.000000,0.000000,193,193,61580.35,74,76,43,193,193,39744.31,70,84,39,49,25,10567.21,11,7,7,27,16,9778.29,5,8,3,16,10,9515.88,4,4,2,3,1,1367.14,0,0,1,807,816595.47,11075.35,872.68,522777.07,1733.040000,1984,1824,0.000000,0.000000,807,805,249861.25,324,324,157,807,796,161316.55,319,316,161,226,142,57697.24,56,60,26,99,58,35578.28,23,21,14,28,14,11183.69,7,7,0,17,9,7140.06,4,4,1
credit_high,2,6,1,1.033900,1.046927,1.015610,1.045856,0.994377,1.051475,1.094110,16430554.05,11678.80,36,15419091.90,1392.45,789.00,0,193,191530.54,0.00,0.00,130911.93,426.960000,486,440,0.000000,0.000000,193,193,62765.95,69,81,43,193,192,39911.43,71,80,41,56,33,13926.98,13,13,7,32,20,13017.55,7,7,6,7,2,1290.02,2,0,0,5,0,0.00,0,0,0,807,819931.61,11678.80,971.10,523885.87,1720.720000,1984,1808,0.000000,0.000000,807,803,250575.41,327,319,157,807,794,161536.45,315,320,159,219,134,55768.84,54,54,26,98,54,32686.23,20,23,11,32,13,14566.06,4,3,6,21,10,8752.88,4,4,2
credit_high,2,7,1,1.038254,1.051747,1.018290,1.062360,0.991350,1.035829,1.131725,16431696.80,12821.55,42,15411634.54,2020.92,878.17,0,193,182606.07,0.00,0.00,139062.76,441.160000,491,453,0.000000,0.000000,193,193,62923.38,70,80,43,193,193,41210.76,67,81,45,58,45,19411.23,21,12,12,27,14,7893.94,6,6,2,13,6,5613.06,2,3,1,7,2,2010.39,1,0,1,807,837456.19,12821.55,1140.10,510234.89,1680.880000,1928,1772,1.000000,0.000000,807,807,252600.62,330,320,157,807,797,161253.54,323,319,155,150,80,35557.57,30,29,21,106,59,33547.38,27,22,10,41,21,20232.37,8,8,5,17,8,7043.41,3,4,1
credit_high,2,8,1,1.039032,1.053833,1.019240,1.051011,0.986896,1.047947,1.176605,16435485.49,16610.24,53,15391695.84,4822.41,1033.72,0,193,191404.85,0.00,0.00,121342.21,401.400000,474,429,0.000000,0.000000,193,193,60249.05,80,76,37,193,190,37306.42,76,85,29,36,23,8596.04,10,12,1,30,17,10720.93,5,8,4,15,5,3794.36,3,2,0,7,1,675.41,1,0,0,807,852384.80,16610.24,1413.78,515474.10,1691.520000,1980,1786,0.000000,0.000000,807,806,255716.89,319,324,163,807,787,158128.18,324,315,148,193,113,44569.14,46,55,12,104,53,32251.83,20,21,12,51,19,16746.04,8,9,2,18,8,8062.02,2,4,2
credit_high,2,9,1,1.039632,1.056507,1.019660,1.042517,0.980492,1.056126,1.199358,16438516.30,19641.05,63,15395320.23,4306.05,1275.24,0,193,198041.41,0.00,0.00,123510.66,408.520000,472,429,0.000000,0.000000,193,193,60970.97,73,85,35,193,192,39235.49,70,87,35,37,24,10060.92,8,12,4,29,13,7665.45,4,7,2,14,5,3914.81,3,2,0,6,2,1663.02,1,1,0,807,845154.66,19641.05,1697.14,536868.74,1734.960000,2020,1820,0.000000,0.000000,807,805,255612.95,325,315,165,807,798,163503.41,320,313,165,201,120,49801.95,57,34,29,130,70,41398.37,29,26,15,53,23,23079.76,8,9,6,22,4,3472.30,3,0,1
credit_high,2,10,1,1.044547,1.061047,1.022930,1.042835,0.992518,1.081414,1.188158,16442973.30,24098.05,77,15398243.42,5986.85,1529.85,0,193,199424.33,0.00,0.00,128770.07,416.440000,483,431,0.000000,0.000000,193,189,61933.55,67,82,40,193,191,40137.47,66,86,39,43,30,11726.43,12,15,3,36,14,8787.55,4,7,3,14,6,5226.37,4,1,1,4,1,958.70,0,1,0,807,845305.55,24098.05,2095.04,530908.13,1708.480000,2057,1808,0.000000,0.000000,807,787,247051.05,333,300,154,807,794,161851.31,328,305,161,218,128,51601.19,55,52,21,142,69,40878.05,29,26,14,53,22,22414.58,7,10,5,30,8,7111.95,4,3,1
credit_high,2,11,1,1.047149,1.060167,1.023190,1.050476,1.010927,1.096247,1.199930,16445655.74,26780.49,87,15417581.13,4570.26,1887.82,0,193,198827.50,0.00,0.00,130757.79,422.520000,475,429,1.000000,0.000000,193,193,64551.32,64,85,44,193,189,40605.96,58,91,40,38,27,12008.11,9,11,7,36,16,10146.34,6,6,4,10,3,2728.24,1,2,0,5,1,717.82,1,0,0,807,829247.11,26780.49,2351.11,545334.93,1742.280000,2071,1839,0.000000,0.000000,807,805,253129.68,334,315,156,807,797,162365.06,328,309,160,232,140,57995.58,58,56,26,141,67,40440.43,27,27,13,53,21,22522.56,6,9,6,31,9,8881.62,3,4,2
credit_high,2,12,1,1.051068,1.061340,1.023660,1.065787,1.017508,1.108841,1.253785,16449147.88,30272.63,102,15430061.58,5605.55,2113.41,0,193,202602.85,0.00,0.00,126391.65,415.240000,471,427,0.000000,0.000000,193,193,64480.69,65,84,44,193,190,40277.46,66,83,41,44,30,12886.21,13,10,7,25,9,4596.64,6,2,1,11,3,2377.42,2,1,0,5,2,1773.23,1,1,0,807,816483.45,30272.63,2799.19,542843.81,1730.040000,2075,1833,0.000000,0.000000,807,806,253736.86,334,316,156,807,792,159105.06,334,309,149,226,134,56039.58,54,57,23,148,73,45933.86,26,31,16,55,20,19771.40,7,10,3,32,8,8257.05,3,3,2
credit_high,2,13,1,1.051668,1.061833,1.022600,1.065911,1.022331,1.102699,1.299018,16454109.63,35234.38,119,15412911.61,7485.80,2524.05,0,193,195339.07,0.00,0.00,137438.21,433.480000,493,439,0.000000,0.000000,193,187,63782.39,58,84,45,193,190,40343.65,63,87,40,59,47,20886.92,16,20,11,25,8,5366.68,2,4,2,17,6,6013.57,2,3,1,6,1,1045.00,0,1,0,807,845858.95,35234.38,3292.87,502166.83,1650.080000,1995,1760,1.000000,0.000000,807,794,244343.59,342,315,137,807,797,160625.60,334,310,153,172,90,37877.28,39,33,18,117,50,29365.76,20,23,7,63,22,22171.42,9,8,5,29,7,7783.18,2,3,2
credit_high,2,14,1,1.049365,1.060607,1.021720,1.056703,1.005928,1.117452,1.311945,16455105.25,36230.00,124,15404864.49,3963.48,2967.86,0,193,195503.95,0.00,0.00,130019.46,415.200000,483,432,0.000000,0.000000,193,192,61877.43,77,73,42,193,192,39287.69,79,73,40,35,25,11188.78,6,14,5,38,17,11781.65,5,6,6,16,4,4359.05,1,2,1,8,2,1524.86,2,0,0,807,854736.81,36230.00,3432.25,518688.43,1686.960000,2032,1788,1.000000,0.000000,807,803,253513.72,323,327,153,807,789,158101.17,321,327,141,195,115,48631.72,49,41,25,124,52,29118.28,28,15,9,65,23,23514.16,9,9,5,34,6,5809.38,2,4,0
credit_high,2,15,1,1.049580,1.061887,1.021940,1.048754,1.001788,1.133418,1.317038,16457374.06,38498.81,129,15404319.00,5360.89,3092.08,0,193,202276.00,0.00,0.00,123415.20,406.960000,476,420,1.000000,0.000000,193,193,62708.54,68,87,38,193,192,40004.63,66,89,37,34,21,9177.62,4,14,3,32,8,4815.64,2,5,1,16,4,4435.18,1,2,1,8,2,2273.59,1,0,1,807,850779.06,38498.81,3564.89,532794.32,1723.880000,2056,1821,1.000000,0.000000,807,807,255857.46,332,313,162,807,801,163549.67,327,311,163,200,119,47865.09,51,50,18,139,68,38118.12,31,28,9,67,20,21024.53,8,7,5,36,6,6379.45,2,3,1
credit_high,2,16,1,1.050440,1.063173,1.023130,1.039121,1.012491,1.132854,1.324038,16459204.53,40329.28,136,15405599.96,5034.35,3203.88,0,193,200725.84,0.00,0.00,131741.57,424.680000,494,439,1.000000,0.000000,193,190,62245.24,71,77,42,193,192,40920.41,65,85,42,43,33,13839.78,13,13,7,41,19,10540.47,9,8,2,17,4,3098.26,3,1,0,7,1,1097.41,0,1,0,807,852878.73,40329.28,3790.00,526294.40,1710.520000,2078,1811,0.000000,0.000000,807,792,248905.16,329,313,150,807,801,162599.74,331,312,158,209,134,55407.24,54,54,26,134,60,36097.38,24,25,11,81,17,16129.01,8,7,2,40,7,7155.87,3,3,1
credit_high,2,17,1,1.051936,1.062427,1.023120,1.048801,1.027046,1.128447,1.316273,16460880.93,42005.68,145,15403594.51,5079.99,3403.59,0,193,198956.55,0.00,0.00,131965.74,416.120000,486,427,1.000000,0.000000,193,189,62148.63,66,83,40,193,188,39523.75,66,83,39,37,24,10630.30,8,10,6,38,20,12819.96,6,10,4,18,5,5305.81,3,0,2,7,1,1537.29,0,0,1,807,858329.87,42005.68,3993.14,522783.82,1689.680000,2083,1808,1.000000,0.000000,807,792,245979.65,334,317,141,807,792,157790.25,334,317,141,215,133,52354.79,59,57,17,132,63,38573.42,27,23,13,84,23,23537.30,8,11,4,38,5,4548.41,4,0,1
credit_high,2,18,1,1.053366,1.062327,1.021950,1.048512,1.040917,1.154496,1.297908,16462294.08,43418.83,154,15393351.25,4994.30,3581.15,0,193,197272.17,0.00,0.00,131885.90,411.760000,496,422,0.000000,0.000000,193,186,61878.06,64,80,42,193,179,37581.34,61,82,36,43,31,13338.67,13,10,8,38,21,13148.84,8,9,4,20,3,2864.41,1,2,0,9,2,3074.58,0,0,2,807,871670.66,43418.83,4253.76,514625.85,1664.400000,2070,1764,1.000000,0.000000,807,792,249485.58,336,298,158,807,766,154947.08,339,265,162,216,127,52618.93,54,48,25,123,56,36508.28,19,24,13,80,20,18467.21,10,9,1,37,3,2598.77,2,1,0
credit_high,2,19,1,1.053788,1.063327,1.020350,1.053749,1.047594,1.145500,1.278078,16468684.81,49809.56,168,15386103.53,10204.21,3813.48,0,193,194042.07,0.00,0.00,133437.16,425.960000,505,447,0.000000,0.000000,193,188,60968.24,69,81,38,193,191,38540.69,74,83,34,59,48,19683.72,20,20,8,31,16,10630.85,7,4,5,21,4,3613.66,2,2,0,8,0,0.00,0,0,0,807,888539.21,49809.56,4692.69,516070.13,1675.800000,2045,1777,1.000000,0.000000,807,795,248550.73,331,319,145,807,794,160076.96,326,317,151,179,108,44907.41,46,41,21,126,53,32560.13,25,17,11,81,18,21326.01,3,9,6,45,9,8648.89,4,4,1
credit_high,2,20,0,1.052725,1.063093,1.019870,1.049527,1.038363,1.146213,1.303033,16468498.83,49623.58,174,15383558.51,4009.75,4195.73,0,193,196468.57,0.00,0.00,127791.81,411.880000,488,429,0.500000,0.000000,193,193,61453.69,80,73,40,193,190,39009.28,68,87,35,36,26,11229.29,8,13,5,32,15,10466.11,3,8,4,22,4,4097.11,2,1,1,12,1,1536.33,0,0,1,807,888471.75,49623.58,4885.47,526418.18,1708.640000,2053,1790,1.000000,0.000000,807,807,257474.31,320,327,160,807,796,163286.96,318,313,165,186,110,46005.91,40,51,19,126,53,34065.50,21,19,13,81,19,19782.05,9,5,5,46,5,5803.45,0,4,1
credit_high,2,21,0,1.052875,1.065980,1.021880,1.039996,1.033027,1.138754,1.293355,16472995.95,54120.70,185,15397128.15,8865.47,4368.35,0,193,202163.21,0.00,0.00,124527.68,409.480000,482,419,1.000000,0.000000,193,193,63690.78,69,82,42,193,192,40520.96,67,84,41,31,18,8582.68,4,8,6,30,12,8534.72,3,5,4,22,3,2465.98,2,1,0,13,1,732.56,1,0,0,807,873704.59,54120.70,5201.80,545796.97,1736.000000,2096,1834,1.000000,0.000000,807,806,255916.64,330,318,158,807,802,162958.00,329,314,159,195,123,49787.77,60,37,26,143,71,43157.94,30,28,13,91,24,25937.08,8,10,6,53,8,8039.54,3,4,1
credit_high,2,22,0,1.053413,1.066620,1.022460,1.031784,1.037219,1.146761,1.315163,16473152.45,54277.20,188,15395539.22,4794.21,4637.71,0,193,201041.97,0.00,0.00,131352.86,417.520000,505,434,1.000000,0.000000,193,187,61424.77,68,79,40,193,191,39623.70,68,86,37,46,34,13254.40,14,16,4,32,14,9610.46,4,6,4,29,5,4807.70,3,1,1,12,3,2631.83,2,1,0,807,876571.26,54277.20,5296.07,523813.22,1698.040000,2102,1803,1.000000,0.000000,807,788,246381.92,332,313,143,807,799,161464.26,331,314,154,206,127,51447.89,53,51,23,141,69,42291.98,29,27,13,90,17,18062.98,8,4,5,51,3,4164.19,0,1,2
credit_high,2,23,0,1.053323,1.065373,1.022120,1.037320,1.044171,1.141015,1.291883,16474714.18,55838.93,199,15404820.59,6279.06,4717.33,0,193,198558.00,0.00,0.00,132718.49,420.400000,495,430,1.000000,0.000000,193,189,63111.18,62,86,41,193,192,39744.36,62,97,33,36,28,12773.40,9,10,9,34,14,8088.85,7,5,2,29,5,6399.21,0,3,2,10,2,2601.49,0,1,1,807,871335.59,55838.93,5586.06,533317.89,1710.440000,2117,1823,1.000000,0.000000,807,798,249259.56,338,314,146,807,793,159217.84,338,303,152,212,139,56353.60,58,57,24,139,62,37988.18,24,28,10,92,23,22765.14,11,8,4,60,8,7733.57,4,3,1
credit_high,2,24,0,1.054243,1.064687,1.021350,1.048574,1.040537,1.149183,1.314583,16476690.82,57815.57,203,15388124.31,6947.84,4971.20,0,193,206304.10,0.00,0.00,122495.62,393.680000,494,408,2.000000,0.000000,193,184,61395.77,62,81,41,193,180,37120.56,63,84,33,39,27,11185.63,11,11,5,29,8,4307.66,5,2,1,30,7,6624.52,4,2,1,10,2,1861.48,1,1,0,807,882262.41,57815.57,5671.94,517563.11,1647.400000,2120,1745,1.000000,0.000000,807,771,243004.53,338,274,159,807,762,152843.70,337,272,153,200,117,49707.24,42,52,23,150,70,45303.05,25,29,16,90,17,18049.41,5,9,3,66,8,8655.18,3,3,2
credit_high,2,25,0,1.052519,1.063707,1.019260,1.041832,1.041254,1.142075,1.337840,16476959.91,58084.66,206,15359298.64,5308.22,5039.13,0,193,203362.70,0.00,0.00,133186.73,428.120000,510,437,1.000000,0.000000,193,189,62464.94,64,85,40,193,189,40699.34,60,86,43,60,43,18453.15,16,17,10,29,12,6552.70,8,2,2,25,2,2674.13,0,1,1,10,2,2342.47,1,0,1,807,914298.57,58084.66,5768.37,494742.61,1631.440000,2100,1752,2.000000,0.000000,807,778,238316.22,336,315,127,807,799,160261.74,334,314,151,191,99,38211.27,51,33,15,130,44,24495.24,25,13,6,101,24,25097.89,9,10,5,64,8,8360.25,3,4,1
credit_high,2,26,0,1.051578,1.063960,1.020220,1.036716,1.024932,1.147671,1.354675,16478709.03,59833.78,209,15365920.95,6870.38,5121.26,0,193,200606.96,0.00,0.00,133003.79,427.680000,499,436,1.000000,0.000000,193,193,64539.39,68,79,46,193,192,41192.85,62,87,43,43,29,11963.55,9,16,4,34,17,10683.02,5,9,3,27,5,4624.98,2,3,0,9,0,0.00,0,0,0,807,912181.12,59833.78,5940.15,530373.53,1715.520000,2120,1808,2.000000,0.000000,807,807,254648.61,332,321,154,807,794,161167.65,324,313,157,202,123,52998.95,43,51,29,138,61,35397.10,28,24,9,98,18,20263.51,5,8,5,68,5,5897.71,2,1,2
credit_high,2,27,0,1.054755,1.069553,1.022530,1.038827,1.028944,1.141072,1.323800,16478233.45,59358.20,211,15345425.99,4807.13,5282.71,0,193,217343.23,0.00,0.00,113513.86,390.000000,479,406,3.000000,0.000000,193,185,59644.06,69,81,35,193,192,40197.60,64,91,37,32,20,8057.75,8,9,3,25,8,4522.89,4,3,1,25,0,0.00,0,0,0,11,1,1091.56,0,1,0,807,915464.23,59358.20,6037.21,522746.19,1691.920000,2136,1794,1.000000,0.000000,807,788,246195.09,331,319,138,807,795,162747.88,323,309,163,202,118,47703.73,53,43,22,145,68,44152.38,22,30,16,100,17,14061.37,11,6,0,75,8,7885.74,4,3,1
credit_high,2,28,0,1.053357,1.069753,1.022910,1.028734,1.034173,1.112874,1.334593,16482879.31,64004.06,224,15345939.94,10017.17,5371.31,0,193,216638.59,0.00,0.00,130956.47,416.920000,512,423,1.000000,0.000000,193,182,63017.09,57,78,47,193,184,39576.80,61,81,42,46,37,14750.91,14,18,5,36,15,9372.44,4,9,2,31,4,3134.03,3,1,0,13,1,1105.20,0,1,0,807,920300.78,64004.06,6387.28,526312.49,1677.000000,2154,1781,2.000000,0.000000,807,781,245472.47,343,285,153,807,781,157665.70,339,284,158,211,124,52179.95,47,49,28,137,62,36111.79,29,24,9,117,24,25311.04,8,10,6,75,9,9571.54,4,3,2
credit_high,2,29,0,1.057409,1.073833,1.022800,1.036967,1.030530,1.142597,1.372928,16484033.71,65158.46,232,15332326.08,6831.62,5677.22,0,193,216706.75,0.00,0.00,130192.39,415.040000,506,426,1.000000,0.000000,193,182,59150.12,67,80,35,193,191,40828.81,65,83,43,37,27,12698.47,7,11,9,41,22,13876.98,7,11,4,30,3,2850.69,1,2,0,12,1,787.32,1,0,0,807,935000.88,65158.46,6649.07,512948.76,1656.400000,2160,1778,2.000000,0.000000,807,766,233859.60,333,320,113,807,792,158019.59,333,317,142,226,135,54266.49,60,51,24,138,61,37690.75,26,22,13,110,18,21278.19,3,9,6,72,6,7834.14,0,4,2
credit_high,2,30,0,1.058283,1.073153,1.022900,1.037895,1.039465,1.150297,1.378805,16483744.81,64869.56,238,15353727.41,5617.54,5906.44,0,193,200927.90,0.00,0.00,146045.84,444.040000,509,445,1.000000,0.000000,193,193,67165.32,61,81,51,193,192,41591.84,64,82,46,37,30,13320.88,8,15,7,40,21,14158.49,7,8,6,34,7,7918.69,2,3,2,12,2,1890.62,1,1,0,807,929089.50,64869.56,6809.24,532110.50,1709.200000,2147,1808,2.000000,0.000000,807,806,254588.86,338,319,149,807,793,161095.54,322,317,154,208,127,53129.93,49,52,26,133,54,34407.43,19,24,11,113,21,21482.90,9,8,4,79,7,7405.84,3,3,1
credit_high,2,31,0,1.062502,1.079107,1.023510,1.041800,1.045355,1.160950,1.379788,16479953.88,61078.63,237,15319562.29,2256.35,6047.28,0,193,198476.52,0.00,0.00,132722.22,428.840000,517,439,0.000000,0.000000,193,192,65336.56,62,87,43,193,191,40617.73,66,83,42,50,40,17015.25,17,13,10,35,14,8348.56,6,6,2,34,2,1404.12,2,0,0,12,0,0.00,0,0,0,807,961915.07,61078.63,6781.39,489867.67,1614.840000,2124,1737,3.000000,0.000000,807,784,244948.24,338,313,133,807,786,156941.14,334,309,143,180,91,34398.60,50,28,13,132,55,32754.93,24,23,8,119,15,13994.72,9,4,2,79,6,6830.04,3,1,2
credit_high,2,32,0,1.059139,1.078567,1.022100,1.032130,1.034158,1.148138,1.353483,16481010.61,62135.36,240,15327226.77,7079.19,6022.46,0,193,198775.04,0.00,0.00,129971.66,413.000000,516,433,1.000000,0.000000,193,191,61670.18,83,66,42,193,193,39597.10,78,75,40,39,27,10795.44,9,15,3,36,15,9962.41,5,6,4,38,6,6842.55,0,5,1,17,1,1103.98,0,1,0,807,955008.80,62135.36,6857.43,534447.83,1711.840000,2158,1800,3.000000,0.000000,807,799,258518.02,317,324,158,807,790,162779.50,305,325,160,212,127,49205.13,58,52,17,130,56,34882.41,25,18,13,117,20,21029.52,9,6,5,85,8,8033.25,4,3,1
credit_high,2,33,0,1.061647,1.082240,1.022110,1.037056,1.027260,1.169081,1.354553,16480419.24,61543.99,245,15311875.44,5499.41,6090.78,0,193,204773.43,0.00,0.00,124273.33,396.040000,505,415,2.000000,0.000000,193,185,59693.87,75,74,36,193,187,38504.87,71,79,37,32,21,9185.59,8,7,6,33,14,8624.57,6,5,3,37,4,3613.36,2,2,0,17,4,4651.07,1,2,1,807,963770.37,61543.99,6979.56,517130.35,1660.320000,2166,1764,2.000000,0.000000,807,779,244713.01,325,326,128,807,779,157566.15,329,295,155,203,120,50135.02,50,43,27,145,65,39255.72,26,28,11,120,17,20809.38,3,8,6,84,4,4651.07,1,2,1
