scenario,seed,tick,warmup,category,tier,price,units,sold,blocked,unaffordable,mix_share
credit_high,2,1,1,food,budget,180.00,400,400,146,0,0.487211
credit_high,2,1,1,food,standard,300.00,400,400,67,2,0.487211
credit_high,2,1,1,food,premium,540.00,200,21,0,2,0.025579
credit_high,2,1,1,leisure,budget,120.00,400,400,36,0,0.465116
credit_high,2,1,1,leisure,standard,200.00,400,400,23,3,0.465116
credit_high,2,1,1,leisure,premium,360.00,200,60,0,1,0.069767
credit_high,2,1,1,clothing,budget,240.00,67,67,25,1,0.670000
credit_high,2,1,1,clothing,standard,400.00,67,33,0,4,0.330000
credit_high,2,1,1,clothing,premium,720.00,33,0,0,0,0.000000
credit_high,2,1,1,hobby,budget,360.00,33,33,7,1,0.647059
credit_high,2,1,1,hobby,standard,600.00,33,17,0,5,0.333333
credit_high,2,1,1,hobby,premium,1080.00,17,1,0,0,0.019608
credit_high,2,1,1,electronics,budget,540.00,11,11,12,1,0.785714
credit_high,2,1,1,electronics,standard,900.00,11,3,0,4,0.214286
credit_high,2,1,1,electronics,premium,1620.00,6,0,0,0,0.000000
credit_high,2,1,1,appliances,budget,480.00,4,4,5,0,0.800000
credit_high,2,1,1,appliances,standard,800.00,4,1,0,2,0.200000
credit_high,2,1,1,appliances,premium,1440.00,2,0,0,0,0.000000
credit_high,2,2,1,food,budget,183.29,400,400,43,0,0.417973
credit_high,2,2,1,food,standard,302.51,400,400,302,6,0.417973
credit_high,2,2,1,food,premium,515.84,200,157,0,12,0.164054
credit_high,2,2,1,leisure,budget,120.54,400,389,0,0,0.393327
credit_high,2,2,1,leisure,standard,200.58,400,400,108,9,0.404449
credit_high,2,2,1,leisure,premium,347.40,200,200,1,4,0.202224
credit_high,2,2,1,clothing,budget,244.48,67,67,76,3,0.458904
credit_high,2,2,1,clothing,standard,389.85,67,67,12,5,0.458904
credit_high,2,2,1,clothing,premium,684.00,33,12,0,1,0.082192
credit_high,2,2,1,hobby,budget,363.82,33,33,13,3,0.423077
credit_high,2,2,1,hobby,standard,585.45,33,33,1,3,0.423077
credit_high,2,2,1,hobby,premium,1029.18,17,12,0,0,0.153846
credit_high,2,2,1,electronics,budget,567.00,11,11,15,1,0.458333
credit_high,2,2,1,electronics,standard,867.27,11,11,6,4,0.458333
credit_high,2,2,1,electronics,premium,1539.00,6,2,0,0,0.083333
credit_high,2,2,1,appliances,budget,504.00,4,4,7,0,0.444444
credit_high,2,2,1,appliances,standard,770.00,4,4,2,1,0.444444
credit_high,2,2,1,appliances,premium,1368.00,2,1,0,0,0.111111
credit_high,2,3,1,food,budget,184.27,400,400,0,0,0.400000
credit_high,2,3,1,food,standard,313.93,400,400,187,13,0.400000
credit_high,2,3,1,food,premium,510.29,200,200,118,15,0.200000
credit_high,2,3,1,leisure,budget,120.37,400,382,0,0,0.389002
credit_high,2,3,1,leisure,standard,203.28,400,400,96,11,0.407332
credit_high,2,3,1,leisure,premium,347.49,200,200,47,7,0.203666
credit_high,2,3,1,clothing,budget,256.70,67,67,74,7,0.462069
