scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,2,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,16418875.25,0.00,0,15522105.23,0.00,0.00,0,193,172479.76,0.00,0.00,87760.00,333.120000,450,382,0.000000,0.000000,193,162,41160.00,66,94,2,193,174,30720.00,71,93,10,41,35,10000.00,25,10,0,19,9,4440.00,6,2,1,3,2,1440.00,1,1,0,1,0,0.00,0,0,0,807,724290.26,0.00,0.00,328980.00,1257.880000,1836,1469,0.000000,0.000000,807,659,162180.00,334,306,19,807,686,118880.00,329,307,50,123,65,19280.00,42,23,0,59,42,18720.00,27,15,0,30,12,7200.00,10,2,0,10,5,2720.00,4,1,0
credit_off,2,2,1,0.987563,0.991627,0.989640,0.976472,0.975659,0.978520,0.979000,16418875.25,0.00,0,15452779.50,0.00,0.00,0,193,188156.63,0.00,0.00,114443.01,401.360000,460,428,0.000000,0.000000,193,188,52736.53,83,78,27,193,191,38420.22,61,96,34,34,23,7658.22,9,14,0,32,19,10681.23,6,11,2,4,4,3168.81,1,3,0,4,3,1778.00,2,1,0,807,777939.12,0.00,0.00,472986.27,1660.760000,1959,1771,0.000000,0.000000,807,769,222570.35,317,322,130,807,798,158181.84,328,304,166,209,123,43049.89,58,53,12,84,56,30351.03,27,21,8,40,19,14147.16,10,8,1,12,6,4686.00,2,3,1
credit_off,2,3,1,0.995680,1.004460,0.994830,0.981492,0.973334,0.982456,0.987865,16418875.25,0.00,0,15420960.81,0.00,0.00,0,193,194496.71,0.00,0.00,123779.80,419.040000,466,428,0.000000,0.000000,193,193,60741.21,70,76,47,193,190,39396.93,62,87,41,40,24,8748.20,9,13,2,27,15,9823.25,5,5,5,9,4,2956.78,2,2,0,4,2,2113.43,0,1,1,807,803417.73,0.00,0.00,501156.52,1710.720000,1988,1816,0.000000,0.000000,807,807,240596.79,330,324,153,807,792,157402.41,320,313,159,221,121,42089.12,58,54,9,98,68,38882.36,28,28,12,41,21,17730.15,9,9,3,14,7,4455.69,4,3,0
credit_off,2,4,1,1.010937,1.024400,1.003280,0.997040,0.985273,1.000429,1.007373,16418875.25,0.00,0,15416099.59,0.00,0.00,0,193,192947.56,0.00,0.00,131669.03,428.640000,474,438,0.000000,0.000000,193,192,61626.94,69,77,46,193,190,39821.33,63,85,42,44,30,11957.52,12,12,6,26,16,10321.08,4,8,4,14,7,5768.78,4,2,1,4,3,2173.38,1,2,0,807,809828.10,0.00,0.00,520224.76,1728.680000,1989,1819,0.000000,0.000000,807,805,245140.25,328,323,154,807,788,158192.47,315,315,158,220,137,54485.22,55,55,27,97,61,36719.03,23,25,13,40,21,19802.19,7,9,5,18,7,5885.60,3,2,2
credit_off,2,5,1,1.025090,1.039207,1.011680,1.023929,0.986404,1.037009,1.044558,16418875.25,0.00,0,15414405.18,0.00,0.00,0,193,191073.49,0.00,0.00,131993.95,422.680000,480,437,0.000000,0.000000,193,193,61429.28,75,75,43,193,193,39781.84,73,79,41,49,25,10703.54,10,8,7,26,15,9334.23,4,8,3,16,10,9905.87,4,3,3,3,1,839.19,0,1,0,807,813396.58,0.00,0.00,523066.65,1732.240000,1991,1822,0.000000,0.000000,807,805,249964.32,323,325,157,807,793,160877.38,313,321,159,226,142,57531.06,57,59,26,101,59,35532.07,25,20,14,32,15,12977.52,6,8,1,18,8,6184.30,4,3,1
credit_off,2,6,1,1.032310,1.046553,1.015410,1.046328,0.985969,1.039200,1.071795,16418875.25,0.00,0,15411576.49,0.00,0.00,0,193,189523.54,0.00,0.00,131669.83,427.920000,486,440,0.000000,0.000000,193,192,62476.00,67,83,42,193,191,39940.13,70,79,42,56,35,14490.86,15,13,7,32,20,13145.12,6,8,6,7,2,1617.72,1,1,0,5,0,0.00,0,0,0,807,817775.22,0.00,0.00,522256.49,1717.600000,1990,1802,0.000000,0.000000,807,803,250569.20,328,317,158,807,793,161228.91,314,321,158,219,132,55236.44,52,54,26,99,51,31735.15,15,25,11,35,13,14912.43,2,5,6,23,10,8574.36,4,4,2
credit_off,2,7,1,1.036551,1.050887,1.017700,1.063431,0.983724,1.028150,1.103635,16418875.25,0.00,0,15402116.63,0.00,0.00,0,193,179197.83,0.00,0.00,140445.59,442.720000,489,454,0.000000,0.000000,193,193,62948.44,71,78,44,193,193,41097.46,68,80,45,56,43,18957.17,20,10,13,27,17,9585.99,8,6,3,13,6,5913.64,1,4,1,7,2,1942.89,1,0,1,807,837560.79,0.00,0.00,506849.56,1677.680000,1939,1770,1.000000,0.000000,807,807,252317.56,329,322,156,807,797,161249.34,322,320,155,152,82,35741.24,33,29,20,110,55,30913.53,25,21,9,44,21,19741.70,9,7,5,19,8,6886.19,3,4,1
credit_off,2,8,1,1.037430,1.053813,1.018950,1.051820,0.977199,1.035717,1.147385,16418875.25,0.00,0,15379773.02,0.00,0.00,0,193,189740.40,0.00,0.00,119577.31,398.160000,471,426,0.000000,0.000000,193,193,59442.87,84,73,36,193,190,37614.10,76,83,31,36,21,8049.21,8,12,1,27,16,10035.82,5,7,4,15,5,3759.90,3,2,0,7,1,675.41,1,0,0,807,849361.83,0.00,0.00,514834.09,1693.560000,1993,1785,0.000000,0.000000,807,803,254478.33,316,327,160,807,793,159961.89,324,317,152,193,110,43777.34,43,55,12,112,52,31356.08,20,20,12,54,20,18107.60,8,9,3,20,7,7152.85,1,4,2
credit_off,2,9,1,1.037330,1.056093,1.019320,1.042612,0.969698,1.035857,1.167715,16418875.25,0.00,0,15381763.16,0.00,0.00,0,193,198226.32,0.00,0.00,121633.96,403.600000,472,426,0.000000,0.000000,193,193,60133.20,74,87,32,193,192,38820.24,71,88,33,39,21,8610.77,9,8,4,27,13,8003.46,4,6,3,14,5,4447.29,1,4,0,6,2,1619.00,1,1,0,807,838885.77,0.00,0.00,537111.19,1734.880000,2037,1818,0.000000,0.000000,807,805,256326.68,324,313,168,807,796,163613.60,317,312,167,204,117,48331.62,58,30,29,139,70,40520.22,29,27,14,55,23,22029.21,10,7,6,25,7,6289.86,3,3,1
credit_off,2,10,1,1.041276,1.060680,1.021660,1.042309,0.976233,1.048569,1.178998,16418875.25,0.00,0,15381142.68,0.00,0.00,0,193,198766.10,0.00,0.00,129580.10,418.800000,486,436,0.000000,0.000000,193,190,61491.54,69,83,38,193,191,39435.01,68,87,36,48,33,13133.20,11,19,3,34,15,9458.01,3,9,3,14,6,5077.85,4,1,1,4,1,984.49,0,1,0,807,838966.47,0.00,0.00,526554.43,1706.920000,2074,1803,0.000000,0.000000,807,792,250744.38,331,299,162,807,792,161886.74,326,302,164,224,123,48799.99,56,48,19,151,68,39392.70,30,24,14,55,20,18680.16,7,10,3,30,8,7050.46,4,3,1
