scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,cpi_category_food,cpi_category_leisure,cpi_category_clothing,cpi_category_hobby,cpi_category_electronics,cpi_category_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,16249614.50,0.00,0,15372645.34,0.00,0.00,0,201,176454.40,0.00,0.00,91720.00,339.760000,464,394,0.000000,0.000000,201,173,43020.00,82,87,4,201,175,30760.00,81,80,14,34,26,7680.00,17,9,0,20,14,6720.00,7,7,0,6,5,3060.00,4,1,0,2,1,480.00,1,0,0,799,700514.76,0.00,0.00,331280.00,1260.160000,1824,1466,0.000000,0.000000,799,646,159240.00,318,313,15,799,685,118840.00,319,320,46,138,79,23600.00,50,29,0,67,40,18720.00,26,12,2,16,12,8640.00,6,6,0,5,4,2240.00,3,1,0
credit_off,1,2,1,0.986899,0.991113,0.988560,0.978332,0.975780,0.972891,0.973000,0.991113,0.988560,0.978332,0.975780,0.972891,0.973000,16249614.50,0.00,0,15295002.33,0.00,0.00,0,201,194440.45,0.00,0.00,116101.15,410.760000,475,435,0.000000,0.000000,201,189,54911.49,76,81,32,201,201,40210.28,76,84,41,36,21,7631.46,8,11,2,29,19,9781.09,10,7,2,5,3,2304.83,1,2,0,3,2,1262.00,1,1,0,799,760171.72,0.00,0.00,456240.42,1624.800000,1895,1744,0.000000,0.000000,799,757,214581.73,324,319,114,799,792,155751.43,321,316,155,177,130,46620.60,59,56,15,89,44,23740.88,23,14,7,24,15,11759.78,10,2,3,7,6,3786.00,3,3,0
credit_off,1,3,1,0.992708,1.003333,0.992670,0.978095,0.971293,0.954911,0.971675,1.003333,0.992670,0.978095,0.971293,0.954911,0.971675,16249614.50,0.00,0,15272366.89,0.00,0.00,0,201,208899.62,0.00,0.00,119628.03,421.720000,480,445,0.000000,0.000000,201,200,60136.50,82,77,41,201,198,40002.63,75,81,42,45,31,11428.71,15,11,5,23,11,5376.37,7,3,1,9,4,2179.52,4,0,0,1,1,504.30,1,0,0,799,768347.99,0.00,0.00,507721.11,1719.960000,1935,1807,0.000000,0.000000,799,798,240494.50,316,323,159,799,785,156488.31,308,319,158,176,129,49079.58,52,56,21,110,64,35162.66,26,30,8,39,22,19226.96,7,11,4,12,9,7269.10,3,4,2
credit_off,1,4,1,1.006064,1.023287,1.000260,0.984432,0.981918,0.957718,0.990995,1.023287,1.000260,0.984432,0.981918,0.957718,0.990995,16249614.50,0.00,0,15265497.57,0.00,0.00,0,201,206980.30,0.00,0.00,136006.52,451.680000,498,466,0.000000,0.000000,201,200,62622.56,74,84,42,201,200,41505.62,71,84,45,57,45,18094.41,21,12,12,27,18,10581.81,10,3,5,10,3,3202.12,0,2,1,2,0,0.00,0,0,0,799,777136.63,0.00,0.00,507108.74,1704.120000,1933,1795,0.000000,0.000000,799,798,243994.54,324,316,158,799,784,156627.66,313,316,155,164,121,46847.77,46,55,20,113,63,37777.77,21,30,12,43,22,16850.60,11,9,2,15,7,5010.40,4,2,1
credit_off,1,5,1,1.017975,1.037647,1.007760,0.999882,0.996537,0.966221,0.985843,1.037647,1.007760,0.999882,0.996537,0.966221,0.985843,16249614.50,0.00,0,15264375.13,0.00,0.00,0,201,200105.05,0.00,0.00,140962.45,453.240000,495,459,0.000000,0.000000,201,201,65508.55,76,74,51,201,200,42402.19,68,85,47,51,33,14620.10,11,11,11,25,16,11207.52,4,6,6,12,7,6125.35,2,4,1,5,2,1098.74,2,0,0,799,785134.32,0.00,0.00,507899.69,1700.160000,1963,1800,0.000000,0.000000,799,798,245601.04,323,326,149,799,791,157986.72,324,314,153,200,134,52012.04,56,56,22,109,50,29646.36,23,16,11,42,20,17132.64,9,7,4,14,7,5520.89,2,4,1
credit_off,1,6,1,1.024179,1.045147,1.010690,1.017869,0.989540,0.971911,1.011373,1.045147,1.010690,1.017869,0.989540,0.971911,1.011373,16249614.50,0.00,0,15275685.25,0.00,0.00,0,201,197093.45,0.00,0.00,137098.80,443.760000,493,452,0.000000,0.000000,201,201,66002.62,70,84,47,201,197,41840.24,69,81,47,45,29,12584.49,10,11,8,30,17,9698.79,6,9,2,13,6,5567.63,1,4,1,3,2,1405.03,1,1,0,799,776835.80,0.00,0.00,524195.90,1716.920000,1994,1811,0.000000,0.000000,799,799,247541.38,330,316,153,799,782,157787.00,310,319,153,206,138,55246.30,57,56,25,132,62,37660.86,24,24,14,42,22,19274.41,10,7,5,16,8,6685.95,3,3,2
credit_off,1,7,1,1.028215,1.047820,1.012330,1.026435,0.996345,0.980495,1.056765,1.047820,1.012330,1.026435,0.996345,0.980495,1.056765,16249614.50,0.00,0,15271683.37,0.00,0.00,0,201,191201.99,0.00,0.00,139978.66,447.720000,492,453,0.000000,0.000000,201,201,66659.21,73,77,51,201,200,42357.04,80,68,52,42,30,14767.74,7,10,13,30,14,8131.09,7,4,3,14,6,6160.70,1,3,2,4,2,1902.88,1,0,1,799,786729.14,0.00,0.00,506004.04,1670.920000,1932,1765,0.000000,0.000000,799,798,247502.41,326,323,149,799,784,156810.24,320,316,148,147,95,38925.55,40,35,20,130,59,37912.53,16,29,14,41,21,18302.07,9,8,4,16,8,6551.24,3,4,1
credit_off,1,8,1,1.029325,1.048587,1.011760,1.018402,1.002797,0.999338,1.098865,1.048587,1.011760,1.018402,1.002797,0.999338,1.098865,16249614.50,0.00,0,15242450.10,0.00,0.00,0,201,201854.25,0.00,0.00,123434.94,410.920000,482,427,0.000000,0.000000,201,193,61230.80,71,85,37,201,196,39664.39,78,79,39,33,20,9247.52,4,10,6,30,14,8236.84,5,7,2,13,4,5055.39,1,0,3,4,0,0.00,0,0,0,799,805310.15,0.00,0.00,497316.37,1655.600000,1977,1768,0.000000,0.000000,799,783,240099.12,329,315,139,799,776,152563.37,322,321,133,182,126,50582.34,48,57,21,146,62,36811.74,28,21,13,34,13,11193.00,4,8,1,17,8,6066.80,4,4,0
credit_off,1,9,1,1.028647,1.049413,1.011940,1.013310,1.001045,0.981148,1.119755,1.049413,1.011940,1.013310,1.001045,0.981148,1.119755,16249614.50,0.00,0,15242854.21,0.00,0.00,0,201,208077.99,0.00,0.00,127863.46,426.960000,489,444,0.000000,0.000000,201,201,64097.84,79,79,43,201,200,41196.04,77,80,43,44,26,10696.02,9,12,5,27,11,7034.83,4,4,3,11,5,3544.77,3,2,0,5,1,1293.96,0,0,1,799,798682.30,0.00,0.00,522525.23,1714.320000,1988,1802,0.000000,0.000000,799,799,250726.16,321,321,157,799,787,159637.68,310,320,157,185,129,52294.56,55,46,28,141,60,35331.85,29,18,13,42,18,16870.90,5,9,4,22,9,7664.08,4,4,1
credit_off,1,10,1,1.031183,1.053533,1.014180,1.013883,0.997510,0.972030,1.161878,1.053533,1.014180,1.013883,0.997510,0.972030,1.161878,16249614.50,0.00,0,15245575.46,0.00,0.00,0,201,203244.69,0.00,0.00,138920.50,453.680000,509,466,0.000000,0.000000,201,201,66177.15,71,84,46,201,200,42455.67,69,85,46,63,47,18769.52,20,18,9,26,12,6763.18,4,7,1,12,6,4754.98,2,4,0,6,0,0.00,0,0,0,799,800794.35,0.00,0.00,513785.33,1691.320000,2019,1791,0.000000,0.000000,799,799,249882.85,329,316,154,799,789,158715.54,324,311,154,177,110,43291.39,44,49,17,164,66,38041.40,29,26,11,58,22,20090.10,9,7,6,22,5,3764.05,4,1,0
