scenario,seed,tick,warmup,category,good,tier,price,units,sold,blocked,unaffordable,mix_share,category_mix_share
credit_off,1,1,1,food,food,budget,180.00,400,400,145,0,0.488400,0.488400
credit_off,1,1,1,food,food,standard,300.00,400,400,61,2,0.488400,0.488400
credit_off,1,1,1,food,food,premium,540.00,200,19,0,2,0.023199,0.023199
credit_off,1,1,1,leisure,leisure,budget,120.00,400,400,15,1,0.465116,0.465116
credit_off,1,1,1,leisure,leisure,standard,200.00,400,400,14,1,0.465116,0.465116
credit_off,1,1,1,leisure,leisure,premium,360.00,200,60,0,2,0.069767,0.069767
credit_off,1,1,1,clothing,clothing,budget,240.00,67,67,27,1,0.638095,0.638095
credit_off,1,1,1,clothing,clothing,standard,400.00,67,38,0,2,0.361905,0.361905
credit_off,1,1,1,clothing,clothing,premium,720.00,33,0,0,0,0.000000,0.000000
credit_off,1,1,1,hobby,hobby,budget,360.00,33,33,1,3,0.611111,0.611111
credit_off,1,1,1,hobby,hobby,standard,600.00,33,19,0,2,0.351852,0.351852
credit_off,1,1,1,hobby,hobby,premium,1080.00,17,2,0,0,0.037037,0.037037
credit_off,1,1,1,electronics,electronics,budget,540.00,11,10,0,2,0.588235,0.588235
credit_off,1,1,1,electronics,electronics,standard,900.00,11,7,0,2,0.411765,0.411765
credit_off,1,1,1,electronics,electronics,premium,1620.00,6,0,0,0,0.000000,0.000000
credit_off,1,1,1,appliances,appliances,budget,480.00,4,4,2,0,0.800000,0.800000
credit_off,1,1,1,appliances,appliances,standard,800.00,4,1,0,1,0.200000,0.200000
credit_off,1,1,1,appliances,appliances,premium,1440.00,2,0,0,0,0.000000,0.000000
credit_off,1,2,1,food,food,budget,183.26,400,400,54,0,0.422833,0.422833
credit_off,1,2,1,food,food,standard,302.29,400,400,302,13,0.422833,0.422833
credit_off,1,2,1,food,food,premium,515.57,200,146,0,5,0.154334,0.154334
credit_off,1,2,1,leisure,leisure,budget,120.23,400,397,0,0,0.399799,0.399799
credit_off,1,2,1,leisure,leisure,standard,200.35,400,400,91,6,0.402820,0.402820
credit_off,1,2,1,leisure,leisure,premium,347.40,200,196,0,0,0.197382,0.197382
credit_off,1,2,1,clothing,clothing,budget,244.84,67,67,37,4,0.443709,0.443709
credit_off,1,2,1,clothing,clothing,standard,391.34,67,67,4,3,0.443709,0.443709
credit_off,1,2,1,clothing,clothing,premium,684.00,33,17,0,1,0.112583,0.112583
credit_off,1,2,1,hobby,hobby,budget,360.55,33,33,30,5,0.523810,0.523810
credit_off,1,2,1,hobby,hobby,standard,587.27,33,21,0,2,0.333333,0.333333
credit_off,1,2,1,hobby,hobby,premium,1032.35,17,9,0,0,0.142857,0.142857
credit_off,1,2,1,electronics,electronics,budget,537.55,11,11,3,4,0.611111,0.611111
credit_off,1,2,1,electronics,electronics,standard,883.64,11,4,0,5,0.222222,0.222222
credit_off,1,2,1,electronics,electronics,premium,1539.00,6,3,0,1,0.166667,0.166667
credit_off,1,2,1,appliances,appliances,budget,492.00,4,4,2,0,0.500000,0.500000
credit_off,1,2,1,appliances,appliances,standard,770.00,4,4,2,2,0.500000,0.500000
credit_off,1,2,1,appliances,appliances,premium,1368.00,2,0,0,0,0.000000,0.000000
credit_off,1,3,1,food,food,budget,184.50,400,398,0,0,0.398798,0.398798
credit_off,1,3,1,food,food,standard,313.70,400,400,164,19,0.400802,0.400802
credit_off,1,3,1,food,food,premium,508.60,200,200,135,22,0.200401,0.200401
credit_off,1,3,1,leisure,leisure,budget,120.18,400,383,0,1,0.389624,0.389624
credit_off,1,3,1,leisure,leisure,standard,202.63,400,400,78,15,0.406918,0.406918
credit_off,1,3,1,leisure,leisure,premium,347.05,200,200,48,6,0.203459,0.203459
credit_off,1,3,1,clothing,clothing,budget,251.60,67,67,35,5,0.418750,0.418750
credit_off,1,3,1,clothing,clothing,standard,392.51,67,67,11,10,0.418750,0.418750
credit_off,1,3,1,clothing,clothing,premium,667.42,33,26,0,1,0.162500,0.162500
credit_off,1,3,1,hobby,hobby,budget,376.93,33,33,19,10,0.440000,0.440000
credit_off,1,3,1,hobby,hobby,standard,576.60,33,33,20,6,0.440000,0.440000
credit_off,1,3,1,hobby,hobby,premium,1008.06,17,9,0,2,0.120000,0.120000
credit_off,1,3,1,electronics,electronics,budget,544.88,11,11,5,8,0.423077,0.423077
credit_off,1,3,1,electronics,electronics,standard,855.52,11,11,2,8,0.423077,0.423077
credit_off,1,3,1,electronics,electronics,premium,1500.52,6,4,0,4,0.153846,0.153846
credit_off,1,3,1,appliances,appliances,budget,504.30,4,4,3,0,0.400000,0.400000
credit_off,1,3,1,appliances,appliances,standard,789.25,4,4,2,1,0.400000,0.400000
credit_off,1,3,1,appliances,appliances,premium,1299.60,2,2,0,0,0.200000,0.200000
credit_off,1,4,1,food,food,budget,184.45,400,398,0,0,0.398798,0.398798
