scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,3,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,16196556.50,0.00,0,15327791.98,0.00,0.00,0,195,166963.54,0.00,0.00,84920.00,318.080000,441,368,0.000000,0.000000,195,161,40020.00,83,71,7,195,173,30200.00,85,73,15,25,19,6000.00,10,9,0,19,11,6600.00,4,5,2,5,3,1620.00,3,0,0,2,1,480.00,1,0,0,805,701800.98,0.00,0.00,342040.00,1281.760000,1838,1488,0.000000,0.000000,805,663,164940.00,317,329,17,805,673,116600.00,315,313,45,127,93,28720.00,57,34,2,60,41,17640.00,29,12,0,35,15,12060.00,8,5,2,6,3,2080.00,1,2,0
credit_off,3,2,1,0.986865,0.991107,0.987400,0.976778,0.975298,0.988378,0.966000,16196556.50,0.00,0,15227535.12,0.00,0.00,0,195,185903.71,0.00,0.00,107001.60,380.560000,461,408,0.000000,0.000000,195,180,52210.97,74,75,31,195,186,35994.70,74,80,32,40,23,7209.88,12,11,0,24,15,8109.60,5,9,1,5,3,3008.45,1,1,1,2,1,468.00,1,0,0,805,783117.67,0.00,0.00,440603.80,1569.240000,1933,1711,0.000000,0.000000,805,751,209500.47,326,325,100,805,776,148284.10,326,320,130,189,101,33656.96,55,38,8,79,55,27273.77,28,24,3,43,22,17556.50,10,10,2,12,6,4332.00,3,2,1
credit_off,3,3,1,0.991477,1.002073,0.990220,0.970694,0.963195,0.996527,0.959400,16196556.50,0.00,0,15200878.65,0.00,0.00,0,195,189009.67,0.00,0.00,122835.81,422.480000,474,438,0.000000,0.000000,195,195,60171.60,75,75,45,195,193,39090.39,69,84,40,52,32,12150.36,14,12,6,21,12,6914.04,6,3,3,8,4,3257.52,1,3,0,3,2,1251.90,1,1,0,805,806668.18,0.00,0.00,498369.98,1706.880000,1983,1800,0.000000,0.000000,805,801,239711.20,321,325,155,805,783,156056.57,307,316,160,226,123,44614.40,53,55,15,98,67,38125.79,27,28,12,37,20,16106.32,10,8,2,12,6,3755.70,3,3,0
credit_off,3,4,1,1.006267,1.023420,0.998620,0.989675,0.963301,1.003724,0.969273,16196556.50,0.00,0,15200924.50,0.00,0.00,0,195,194508.61,0.00,0.00,120442.83,409.680000,460,426,0.000000,0.000000,195,195,60746.21,79,72,44,195,192,39522.63,69,81,42,42,23,8078.45,12,9,2,18,9,5012.88,3,5,1,8,6,6566.69,2,1,3,2,1,515.97,1,0,0,805,801123.39,0.00,0.00,527465.28,1747.560000,1989,1833,0.000000,0.000000,805,803,245910.37,319,328,156,805,785,157433.55,308,319,158,225,144,57873.52,55,58,31,98,72,42455.36,28,28,16,42,22,19088.49,9,10,3,14,7,4703.99,3,4,0
credit_off,3,5,1,1.019093,1.038753,1.006870,1.010437,0.966291,1.023337,0.976193,16196556.50,0.00,0,15208517.05,0.00,0.00,0,195,184277.86,0.00,0.00,136172.52,439.520000,489,452,0.000000,0.000000,195,195,63270.15,60,96,39,195,191,39038.37,64,92,35,57,37,15434.21,14,14,9,31,23,13548.27,9,9,5,8,5,4072.78,2,3,0,3,1,808.74,0,1,0,805,803761.59,0.00,0.00,519282.29,1721.760000,1971,1814,0.000000,0.000000,805,805,248355.85,340,304,161,805,793,160415.63,320,308,165,211,130,51901.31,53,53,24,92,57,33705.24,21,24,12,40,21,19107.21,9,8,4,18,8,5797.05,4,3,1
credit_off,3,6,1,1.026310,1.045293,1.010580,1.029585,0.974488,1.028545,0.997380,16196556.50,0.00,0,15216107.84,0.00,0.00,0,195,174852.46,0.00,0.00,135367.17,432.240000,492,452,0.000000,0.000000,195,195,61487.19,74,83,38,195,191,38982.24,68,87,36,61,40,15929.05,18,15,7,26,15,8577.32,5,8,2,12,9,8983.44,2,5,2,3,2,1407.93,1,1,0,805,805596.20,0.00,0.00,520085.88,1720.720000,1977,1802,0.000000,0.000000,805,805,252100.81,326,317,162,805,793,161217.60,316,313,164,214,120,50756.30,42,52,26,107,64,38048.81,27,22,15,32,12,11391.25,5,4,3,14,8,6571.11,3,3,2
credit_off,3,7,1,1.028345,1.047127,1.011520,1.040448,0.973370,1.016971,1.024005,16196556.50,0.00,0,15205708.29,0.00,0.00,0,195,177177.69,0.00,0.00,123616.54,407.480000,469,429,0.000000,0.000000,195,195,59346.57,82,80,33,195,191,38279.20,73,84,34,40,22,9732.66,6,11,5,28,15,10291.10,3,7,5,9,5,5096.47,2,1,2,2,1,870.54,0,1,0,805,813670.52,0.00,0.00,513846.17,1702.880000,1946,1774,0.000000,0.000000,805,803,254422.11,316,320,167,805,790,161753.92,308,316,166,187,109,46494.65,46,35,28,95,50,30068.04,20,18,12,37,15,14937.89,4,7,4,17,7,6169.56,2,3,2
credit_off,3,8,1,1.028170,1.048813,1.011120,1.039217,0.966037,1.010991,1.031843,16196556.50,0.00,0,15179917.59,0.00,0.00,0,195,190326.76,0.00,0.00,112792.70,388.520000,471,423,0.000000,0.000000,195,191,57653.94,79,83,29,195,193,36599.05,79,90,24,41,21,7586.41,12,7,2,29,13,6435.85,7,5,1,8,4,3955.88,1,2,1,3,1,561.57,1,0,0,805,826312.15,0.00,0.00,509278.86,1686.800000,1972,1772,0.000000,0.000000,805,800,252024.76,321,317,162,805,791,160084.42,320,310,161,179,100,38989.71,48,37,15,114,56,36220.72,13,28,15,49,20,18140.85,10,5,5,20,5,3818.40,3,1,1
credit_off,3,9,1,1.026333,1.049680,1.011220,1.022206,0.960942,1.010806,1.021663,16196556.50,0.00,0,15183681.13,0.00,0.00,0,195,189626.20,0.00,0.00,126642.33,414.760000,493,445,0.000000,0.000000,195,195,59335.50,80,84,31,195,191,37731.10,74,86,31,52,32,12132.41,15,13,4,33,17,8485.14,8,8,1,11,5,5119.77,2,1,2,7,5,3838.41,3,1,1,805,823249.17,0.00,0.00,524983.47,1724.080000,2017,1802,0.000000,0.000000,805,804,255383.68,319,316,169,805,788,162009.28,305,314,169,202,123,47880.55,52,54,17,133,59,34658.64,25,20,14,52,23,20716.43,9,10,4,20,5,4334.89,1,3,1
credit_off,3,10,1,1.030100,1.053500,1.013450,1.027064,0.959517,1.024931,1.052113,16196556.50,0.00,0,15192401.82,0.00,0.00,0,195,191703.53,0.00,0.00,123864.44,408.240000,485,428,0.000000,0.000000,195,195,61549.18,77,80,38,195,188,38315.68,70,82,36,43,21,8635.34,8,9,4,37,18,9937.50,6,10,2,10,3,3068.99,1,1,1,5,3,2357.75,1,2,0,805,812451.15,0.00,0.00,532718.51,1740.000000,2031,1822,0.000000,0.000000,805,803,254131.22,321,320,162,805,792,161996.12,310,318,164,223,143,58993.77,56,58,29,125,56,30943.80,24,23,9,51,21,20594.45,6,10,5,22,7,6059.15,3,2,2
