scenario,seed,tick,warmup,cohort,archetype,households,cash,loans_outstanding,debt_service,spend,quality,wanted,obtained,wait_median,wait_median_met,food_wanted,food_obtained,food_spend,food_budget_units,food_standard_units,food_premium_units,leisure_wanted,leisure_obtained,leisure_spend,leisure_budget_units,leisure_standard_units,leisure_premium_units,clothing_wanted,clothing_obtained,clothing_spend,clothing_budget_units,clothing_standard_units,clothing_premium_units,hobby_wanted,hobby_obtained,hobby_spend,hobby_budget_units,hobby_standard_units,hobby_premium_units,electronics_wanted,electronics_obtained,electronics_spend,electronics_budget_units,electronics_standard_units,electronics_premium_units,appliances_wanted,appliances_obtained,appliances_spend,appliances_budget_units,appliances_standard_units,appliances_premium_units
credit_off,4,1,1,abstainer,average,200,173401.48,0.00,0.00,88780.00,331.120000,462,380,0.000000,0.000000,200,170,43440.00,77,86,7,200,170,30480.00,78,75,17,38,29,8080.00,22,7,0,12,6,2640.00,4,2,0,10,5,4140.00,3,1,1,2,0,0.00,0,0,0
credit_off,4,1,1,borrower,average,800,704607.86,0.00,0.00,337560.00,1275.680000,1850,1478,0.000000,0.000000,800,664,166920.00,323,314,27,800,683,118520.00,322,313,48,125,68,20960.00,45,20,3,80,48,22320.00,29,18,1,34,10,6120.00,8,2,0,11,5,2720.00,4,1,0
credit_off,4,2,1,abstainer,average,200,198655.44,0.00,0.00,105836.78,388.640000,470,420,0.000000,0.000000,200,191,52589.86,86,81,24,200,195,38693.38,74,83,38,40,21,6411.18,12,9,0,16,9,5273.82,4,3,2,11,4,2868.54,2,2,0,3,0,0.00,0,0,0
credit_off,4,2,1,borrower,average,800,758429.89,0.00,0.00,467261.90,1627.360000,1970,1752,0.000000,0.000000,800,748,213195.15,314,319,115,800,785,151907.62,326,317,142,214,122,42070.01,55,58,9,97,68,37427.19,29,30,9,44,21,17565.93,9,9,3,15,8,5096.00,4,4,0
credit_off,4,3,1,abstainer,average,200,199046.69,0.00,0.00,130699.49,438.920000,489,449,0.000000,0.000000,200,200,61185.61,75,83,42,200,195,40656.84,67,81,47,51,35,13824.78,13,15,7,20,12,8526.78,1,7,4,14,6,5976.28,2,2,2,4,1,529.20,1,0,0
credit_off,4,3,1,borrower,average,800,777693.10,0.00,0.00,501820.72,1706.720000,1985,1798,0.000000,0.000000,800,798,239197.57,323,317,158,800,786,155042.32,314,319,153,230,128,48706.22,54,52,22,90,56,33758.17,21,22,13,45,21,17811.12,9,9,3,20,9,7305.32,3,4,2
credit_off,4,4,1,abstainer,average,200,201802.98,0.00,0.00,128334.45,426.240000,502,452,0.000000,0.000000,200,200,60098.10,82,82,36,200,198,38957.21,83,77,38,54,26,10264.40,11,10,5,28,21,12411.56,9,7,5,17,6,5784.57,3,1,2,3,1,818.61,0,1,0
credit_off,4,4,1,borrower,average,800,776949.79,0.00,0.00,521827.24,1734.520000,2006,1811,0.000000,0.000000,800,799,245627.54,317,318,164,800,780,157943.25,295,323,162,239,141,56381.34,56,57,28,102,62,36028.76,24,26,12,40,22,20075.94,8,10,4,25,7,5770.41,4,1,2
credit_off,4,5,1,abstainer,average,200,199625.01,0.00,0.00,133268.71,435.280000,494,448,1.000000,0.000000,200,200,63431.10,73,85,42,200,193,39782.58,73,77,43,54,35,15454.99,13,11,11,23,14,8411.00,5,6,3,13,6,6189.04,2,2,2,4,0,0.00,0,0,0
credit_off,4,5,1,borrower,average,800,796375.93,0.00,0.00,501657.79,1687.320000,1952,1769,0.000000,0.000000,800,796,246005.54,323,315,158,800,784,157879.10,309,318,157,199,116,48448.60,38,56,22,94,54,32933.73,16,27,11,34,11,10864.50,4,4,3,25,8,5526.32,4,4,0
credit_off,4,6,1,abstainer,average,200,197926.60,0.00,0.00,132789.15,434.200000,502,447,0.000000,0.000000,200,199,64233.15,77,74,48,200,197,40677.91,79,72,46,54,27,11990.17,10,9,8,30,20,12041.58,8,7,5,13,2,2415.63,0,1,1,5,2,1430.71,1,1,0
credit_off,4,6,1,borrower,average,800,812990.07,0.00,0.00,504469.79,1688.120000,1999,1779,0.000000,0.000000,800,798,247068.10,320,326,152,800,786,158685.10,304,328,154,225,123,49504.62,57,43,23,103,47,25649.61,25,13,9,42,18,17973.88,5,8,5,29,7,5588.48,3,3,1
