scenario,seed,tick,warmup,category,tier,price,units,sold,blocked,unaffordable,mix_share
credit_off,4,1,1,food,budget,180.00,400,400,134,0,0.479616
credit_off,4,1,1,food,standard,300.00,400,400,42,0,0.479616
credit_off,4,1,1,food,premium,540.00,200,34,0,1,0.040767
credit_off,4,1,1,leisure,budget,120.00,400,400,18,1,0.468933
credit_off,4,1,1,leisure,standard,200.00,400,388,0,0,0.454865
credit_off,4,1,1,leisure,premium,360.00,200,65,0,0,0.076202
credit_off,4,1,1,clothing,budget,240.00,67,67,18,0,0.690722
credit_off,4,1,1,clothing,standard,400.00,67,27,0,1,0.278351
credit_off,4,1,1,clothing,premium,720.00,33,3,0,0,0.030928
credit_off,4,1,1,hobby,budget,360.00,33,33,5,1,0.611111
credit_off,4,1,1,hobby,standard,600.00,33,20,0,1,0.370370
credit_off,4,1,1,hobby,premium,1080.00,17,1,0,1,0.018519
credit_off,4,1,1,electronics,budget,540.00,11,11,25,0,0.733333
credit_off,4,1,1,electronics,standard,900.00,11,3,0,1,0.200000
credit_off,4,1,1,electronics,premium,1620.00,6,1,0,1,0.066667
credit_off,4,1,1,appliances,budget,480.00,4,4,7,0,0.800000
credit_off,4,1,1,appliances,standard,800.00,4,1,0,0,0.200000
credit_off,4,1,1,appliances,premium,1440.00,2,0,0,0,0.000000
credit_off,4,2,1,food,budget,183.02,400,400,61,0,0.425985
credit_off,4,2,1,food,standard,301.58,400,400,293,9,0.425985
credit_off,4,2,1,food,premium,517.59,200,139,0,8,0.148030
credit_off,4,2,1,leisure,budget,120.27,400,400,6,1,0.408163
credit_off,4,2,1,leisure,standard,199.70,400,400,74,6,0.408163
credit_off,4,2,1,leisure,premium,347.85,200,180,0,4,0.183673
credit_off,4,2,1,clothing,budget,243.22,67,67,81,4,0.468531
credit_off,4,2,1,clothing,standard,388.06,67,67,11,4,0.468531
credit_off,4,2,1,clothing,premium,687.27,33,9,0,1,0.062937
credit_off,4,2,1,hobby,budget,362.73,33,33,5,3,0.428571
credit_off,4,2,1,hobby,standard,588.18,33,33,0,1,0.428571
credit_off,4,2,1,hobby,premium,1029.18,17,11,0,4,0.142857
credit_off,4,2,1,electronics,budget,567.00,11,11,24,2,0.440000
credit_off,4,2,1,electronics,standard,867.27,11,11,3,7,0.440000
credit_off,4,2,1,electronics,premium,1552.50,6,3,0,1,0.120000
credit_off,4,2,1,appliances,budget,504.00,4,4,8,2,0.500000
credit_off,4,2,1,appliances,standard,770.00,4,4,1,2,0.500000
credit_off,4,2,1,appliances,premium,1368.00,2,0,0,1,0.000000
credit_off,4,3,1,food,budget,184.41,400,398,0,0,0.398798
credit_off,4,3,1,food,standard,312.62,400,400,165,18,0.400802
credit_off,4,3,1,food,premium,509.70,200,200,102,15,0.200401
credit_off,4,3,1,leisure,budget,120.36,400,381,0,1,0.388379
credit_off,4,3,1,leisure,standard,201.55,400,400,87,14,0.407747
credit_off,4,3,1,leisure,premium,346.11,200,200,46,8,0.203874
credit_off,4,3,1,clothing,budget,255.39,67,67,68,11,0.411043
credit_off,4,3,1,clothing,standard,391.25,67,67,38,7,0.411043
credit_off,4,3,1,clothing,premium,662.28,33,29,0,2,0.177914
credit_off,4,3,1,hobby,budget,365.48,33,22,0,5,0.323529
credit_off,4,3,1,hobby,standard,588.18,33,29,0,4,0.426471
credit_off,4,3,1,hobby,premium,1011.01,17,17,2,1,0.250000
credit_off,4,3,1,electronics,budget,595.35,11,11,17,8,0.407407
credit_off,4,3,1,electronics,standard,879.10,11,11,7,4,0.407407
credit_off,4,3,1,electronics,premium,1513.69,6,5,0,0,0.185185
credit_off,4,3,1,appliances,budget,529.20,4,4,9,4,0.400000
credit_off,4,3,1,appliances,standard,779.63,4,4,4,0,0.400000
credit_off,4,3,1,appliances,premium,1299.60,2,2,2,2,0.200000
credit_off,4,4,1,food,budget,184.36,400,399,0,0,0.399399
credit_off,4,4,1,food,standard,319.07,400,400,81,27,0.400400
credit_off,4,4,1,food,premium,522.69,200,200,114,19,0.200200
credit_off,4,4,1,leisure,budget,120.07,400,378,0,1,0.386503
credit_off,4,4,1,leisure,standard,203.74,400,400,34,14,0.408998
credit_off,4,4,1,leisure,premium,350.09,200,200,62,7,0.204499
credit_off,4,4,1,clothing,budget,268.15,67,67,46,9,0.401198
credit_off,4,4,1,clothing,standard,402.34,67,67,52,6,0.401198
credit_off,4,4,1,clothing,premium,658.27,33,33,1,2,0.197605
credit_off,4,4,1,hobby,budget,359.38,33,33,0,8,0.397590
credit_off,4,4,1,hobby,standard,584.62,33,33,2,1,0.397590
credit_off,4,4,1,hobby,premium,1016.96,17,17,5,3,0.204819
credit_off,4,4,1,electronics,budget,625.12,11,11,7,10,0.392857
credit_off,4,4,1,electronics,standard,907.07,11,11,7,4,0.392857
credit_off,4,4,1,electronics,premium,1501.07,6,6,1,3,0.214286
credit_off,4,4,1,appliances,budget,555.66,4,4,10,6,0.500000
credit_off,4,4,1,appliances,standard,818.61,4,2,0,4,0.250000
credit_off,4,4,1,appliances,premium,1364.58,2,2,0,0,0.250000
credit_off,4,5,1,food,budget,184.34,400,396,0,0,0.397590
credit_off,4,5,1,food,standard,322.30,400,400,23,22,0.401606
credit_off,4,5,1,food,premium,537.59,200,200,50,12,0.200803
credit_off,4,5,1,leisure,budget,119.74,400,382,0,0,0.390993
credit_off,4,5,1,leisure,standard,204.60,400,395,0,16,0.404299
credit_off,4,5,1,leisure,premium,355.52,200,200,40,8,0.204708
credit_off,4,5,1,clothing,budget,277.36,67,51,0,13,0.337748
credit_off,4,5,1,clothing,standard,417.95,67,67,25,3,0.443709
credit_off,4,5,1,clothing,premium,659.26,33,33,18,4,0.218543
credit_off,4,5,1,hobby,budget,359.38,33,21,0,7,0.308824
credit_off,4,5,1,hobby,standard,586.39,33,33,0,5,0.485294
credit_off,4,5,1,hobby,premium,1031.92,17,14,0,2,0.205882
credit_off,4,5,1,electronics,budget,645.01,11,6,0,11,0.352941
credit_off,4,5,1,electronics,standard,935.93,11,6,0,6,0.352941
credit_off,4,5,1,electronics,premium,1513.58,6,5,0,1,0.294118
credit_off,4,5,1,appliances,budget,583.44,4,4,8,6,0.500000
credit_off,4,5,1,appliances,standard,798.14,4,4,2,2,0.500000
credit_off,4,5,1,appliances,premium,1364.58,2,0,0,0,0.000000
credit_off,4,6,1,food,budget,184.25,400,397,0,0,0.398195
credit_off,4,6,1,food,standard,323.23,400,400,39,27,0.401204
credit_off,4,6,1,food,premium,544.31,200,200,29,11,0.200602
credit_off,4,6,1,leisure,budget,119.47,400,383,0,1,0.389624
credit_off,4,6,1,leisure,standard,204.48,400,400,12,18,0.406918
credit_off,4,6,1,leisure,premium,359.07,200,200,18,7,0.203459
credit_off,4,6,1,clothing,budget,274.05,67,67,26,26,0.446667
credit_off,4,6,1,clothing,standard,425.75,67,52,0,2,0.346667
credit_off,4,6,1,clothing,premium,677.24,33,31,0,5,0.206667
credit_off,4,6,1,hobby,budget,352.85,33,33,10,13,0.492537
credit_off,4,6,1,hobby,standard,586.39,33,20,0,4,0.298507
credit_off,4,6,1,hobby,premium,1022.81,17,14,0,1,0.208955
credit_off,4,6,1,electronics,budget,630.35,11,5,0,11,0.250000
credit_off,4,6,1,electronics,standard,914.66,11,9,0,5,0.450000
credit_off,4,6,1,electronics,premium,1500.97,6,6,1,0,0.300000
credit_off,4,6,1,appliances,budget,612.62,4,4,7,8,0.444444
credit_off,4,6,1,appliances,standard,818.09,4,4,3,1,0.444444
credit_off,4,6,1,appliances,premium,1296.35,2,1,0,3,0.111111
credit_off,4,7,1,food,budget,184.18,400,395,0,0,0.396985
credit_off,4,7,1,food,standard,324.80,400,400,28,27,0.402010
credit_off,4,7,1,food,premium,548.26,200,200,14,15,0.201005
credit_off,4,7,1,leisure,budget,119.22,400,385,0,0,0.390863
credit_off,4,7,1,leisure,standard,204.78,400,400,7,24,0.406091
credit_off,4,7,1,leisure,premium,360.69,200,200,13,9,0.203046
credit_off,4,7,1,clothing,budget,279.37,67,20,0,35,0.170940
credit_off,4,7,1,clothing,standard,420.99,67,64,0,4,0.547009
credit_off,4,7,1,clothing,premium,675.19,33,33,3,3,0.282051
credit_off,4,7,1,hobby,budget,358.20,33,33,0,18,0.428571
credit_off,4,7,1,hobby,standard,574.84,33,27,0,4,0.350649
credit_off,4,7,1,hobby,premium,1013.79,17,17,2,0,0.220779
credit_off,4,7,1,electronics,budget,613.16,11,10,0,12,0.384615
credit_off,4,7,1,electronics,standard,906.35,11,11,2,7,0.423077
credit_off,4,7,1,electronics,premium,1513.48,6,5,0,2,0.192308
credit_off,4,7,1,appliances,budget,643.25,4,4,5,7,0.400000
credit_off,4,7,1,appliances,standard,848.77,4,4,3,1,0.400000
credit_off,4,7,1,appliances,premium,1263.94,2,2,1,3,0.200000
credit_off,4,8,1,food,budget,184.06,400,398,0,0,0.398798
credit_off,4,8,1,food,standard,325.94,400,400,14,31,0.400802
credit_off,4,8,1,food,premium,550.18,200,200,31,14,0.200401
credit_off,4,8,1,leisure,budget,119.00,400,376,0,1,0.385246
credit_off,4,8,1,leisure,standard,204.96,400,400,10,16,0.409836
credit_off,4,8,1,leisure,premium,361.86,200,200,11,12,0.204918
credit_off,4,8,1,clothing,budget,269.57,67,59,0,31,0.390728
credit_off,4,8,1,clothing,standard,420.04,67,60,0,10,0.397351
credit_off,4,8,1,clothing,premium,678.26,33,32,0,6,0.211921
credit_off,4,8,1,hobby,budget,358.20,33,33,10,18,0.397590
credit_off,4,8,1,hobby,standard,569.61,33,33,8,4,0.397590
credit_off,4,8,1,hobby,premium,1019.75,17,17,2,1,0.204819
credit_off,4,8,1,electronics,budget,610.37,11,7,0,16,0.333333
credit_off,4,8,1,electronics,standard,914.59,11,11,0,6,0.523810
credit_off,4,8,1,electronics,premium,1500.86,6,3,0,7,0.142857
credit_off,4,8,1,appliances,budget,675.41,4,3,0,8,0.333333
credit_off,4,8,1,appliances,standard,880.60,4,4,2,1,0.444444
credit_off,4,8,1,appliances,premium,1295.54,2,2,0,3,0.222222
credit_off,4,9,1,food,budget,184.02,400,400,16,0,0.406918
credit_off,4,9,1,food,standard,326.51,400,400,20,29,0.406918
credit_off,4,9,1,food,premium,554.44,200,183,0,10,0.186165
credit_off,4,9,1,leisure,budget,118.64,400,383,0,0,0.393628
credit_off,4,9,1,leisure,standard,205.22,400,400,14,24,0.411100
credit_off,4,9,1,leisure,premium,362.86,200,190,0,8,0.195272
credit_off,4,9,1,clothing,budget,267.96,67,58,0,38,0.379085
credit_off,4,9,1,clothing,standard,417.85,67,67,11,12,0.437908
credit_off,4,9,1,clothing,premium,677.23,33,28,0,2,0.183007
credit_off,4,9,1,hobby,budget,363.62,33,23,0,17,0.323944
credit_off,4,9,1,hobby,standard,576.52,33,33,4,3,0.464789
credit_off,4,9,1,hobby,premium,1025.75,17,15,0,2,0.211268
credit_off,4,9,1,electronics,budget,599.27,11,11,3,20,0.407407
credit_off,4,9,1,electronics,standard,914.59,11,10,0,8,0.370370
credit_off,4,9,1,electronics,premium,1463.34,6,6,0,4,0.222222
credit_off,4,9,1,appliances,budget,666.97,4,1,0,9,0.142857
credit_off,4,9,1,appliances,standard,902.62,4,4,0,1,0.571429
credit_off,4,9,1,appliances,premium,1295.54,2,2,3,1,0.285714
credit_off,4,10,1,food,budget,184.39,400,398,0,0,0.398798
credit_off,4,10,1,food,standard,327.32,400,400,9,35,0.400802
credit_off,4,10,1,food,premium,552.08,200,200,36,14,0.200401
credit_off,4,10,1,leisure,budget,118.39,400,391,0,0,0.394949
credit_off,4,10,1,leisure,standard,205.58,400,399,0,15,0.403030
credit_off,4,10,1,leisure,premium,361.95,200,200,27,7,0.202020
credit_off,4,10,1,clothing,budget,266.16,67,67,25,38,0.462069
credit_off,4,10,1,clothing,standard,421.28,67,45,0,11,0.310345
credit_off,4,10,1,clothing,premium,672.10,33,33,3,3,0.227586
credit_off,4,10,1,hobby,budget,358.11,33,33,3,26,0.417722
credit_off,4,10,1,hobby,standard,580.01,33,33,3,7,0.417722
credit_off,4,10,1,hobby,premium,1019.72,17,13,0,2,0.164557
